chr	start	end	ENSG	transcript	regionType
chr1	2412503	2412564	ENSG00000157911	ENST00000447513.7	5primeUTR
chr1	2403974	2405765	ENSG00000157911	ENST00000447513.7	3primeUTR
chr1	10474950	10474966	ENSG00000142655	ENST00000356607.9	5primeUTR
chr1	10629988	10630758	ENSG00000142655	ENST00000356607.9	3primeUTR
chr1	9943475	9943515	ENSG00000173614	ENST00000377205.6	5primeUTR
chr1	9972018	9972073	ENSG00000173614	ENST00000377205.6	5primeUTR
chr1	9982702	9985498	ENSG00000173614	ENST00000377205.6	3primeUTR
chr1	18902524	18902555	ENSG00000159423	ENST00000375341.8	5primeUTR
chr1	18871430	18872844	ENSG00000159423	ENST00000375341.8	3primeUTR
chr1	5992244	5992425	ENSG00000131697	ENST00000378156.9	5primeUTR
chr1	5986290	5986327	ENSG00000131697	ENST00000378156.9	5primeUTR
chr1	5862811	5863264	ENSG00000131697	ENST00000378156.9	3primeUTR
chr1	67054014	67054148	ENSG00000116704	ENST00000235345.6	5primeUTR
chr1	66999350	67004339	ENSG00000116704	ENST00000235345.6	3primeUTR
chr1	68449906	68449954	ENSG00000116745	ENST00000262340.6	5primeUTR
chr1	68428822	68429775	ENSG00000116745	ENST00000262340.6	3primeUTR
chr1	62688265	62688386	ENSG00000116641	ENST00000635253.2	5primeUTR
chr1	62454726	62455413	ENSG00000116641	ENST00000635253.2	3primeUTR
chr1	54887120	54887195	ENSG00000116133	ENST00000371269.9	5primeUTR
chr1	54849627	54852232	ENSG00000116133	ENST00000371269.9	3primeUTR
chr1	54998933	54999186	ENSG00000162399	ENST00000651561.1	5primeUTR
chr1	55008629	55017172	ENSG00000162399	ENST00000651561.1	3primeUTR
chr1	63593411	63593488	ENSG00000079739	ENST00000371084.8	5primeUTR
chr1	63659676	63660245	ENSG00000079739	ENST00000371084.8	3primeUTR
chr1	43389899	43389968	ENSG00000198198	ENST00000634258.3	5primeUTR
chr1	43450481	43454247	ENSG00000198198	ENST00000634258.3	3primeUTR
chr1	113073198	113073406	ENSG00000198799	ENST00000361127.6	5primeUTR
chr1	113124102	113132260	ENSG00000198799	ENST00000361127.6	3primeUTR
chr1	99850361	99850415	ENSG00000162688	ENST00000361915.8	5primeUTR
chr1	99850975	99851042	ENSG00000162688	ENST00000361915.8	5primeUTR
chr1	99921652	99924020	ENSG00000162688	ENST00000361915.8	3primeUTR
chr1	115029826	115029860	ENSG00000134200	ENST00000256592.3	5primeUTR
chr1	115033362	115033362	ENSG00000134200	ENST00000256592.3	5primeUTR
chr1	115034228	115034302	ENSG00000134200	ENST00000256592.3	3primeUTR
chr1	110070613	110070672	ENSG00000156150	ENST00000647563.2	5primeUTR
chr1	110059870	110060732	ENSG00000156150	ENST00000647563.2	3primeUTR
chr1	118987796	118988343	ENSG00000092607	ENST00000369429.5	5primeUTR
chr1	118883047	118884731	ENSG00000092607	ENST00000369429.5	3primeUTR
chr1	160070022	160070160	ENSG00000177807	ENST00000644903.1	5primeUTR
chr1	160037467	160041392	ENSG00000177807	ENST00000644903.1	3primeUTR
